nama,review
salma sisil,"baristanya sebagian mukanya jutek, mmg pribumi dia layani tp yg di liat good looking & good harta ji kl selain itu nda ramah skl, nda bisa di training itu kah pelayanannya? sy juga liat sbgian org2 riview tentang pelayanannya yg bad brrt di situ yg kurang."
Muh Alif,Pelayanan lama sekalai. Ampun ini tempat. Tidak direkomendasi
Ukka 46,Tidal usah ada tukang parkir. Pemgeluaran tambahan lg
Herman Daeng Sijaya,Sangat tdk menyenangkan perilaku anggota managementnya
eric tsu,"Roti kaya isiannya sedikit banget, tipis tipis gitu. Kopi onkel johnnya B aja sih, not really my taste.
Saat pembayaran ada pembulatan (ribuan) harga keatas tanpa konfirmasi, meskipun bayar pakai digital payment."
FX Martin,secara umum tempatnya enak utk ngobrol dan ngopi... cuma karena bebas merokok bagi yang tidak merokok agak terganggu.... apabila boleh saran sebaiknya ada ruangan utk merokok dan non-perokok agar nyaman semua nya....
Havid Han,"Tempat yang menyenangkan untuk hang out. Kopinya mantap, sayangnya untuk tambah hot water karena minuman kemanisan, kok kena charge lagi 10k?"
Ferdi choco,"Pelayanan perlu di tingkatkan lagi jangan cuman melayani orang yg berpakaian bagus duluan.
Saya Pesan di saat masih sepi, tapi orang yg belakangan pesan sudah dapat pesanan tapi saya hampir 10 kali minta baru di antarkan.
Saya minta air putih 5 botol tp cuman 4 orang yg di kasi gelas, sedangkan saya tidak di beri gelas"
Pierre Martin,"Nice place, nice food and coffee, but if you don't like cigarette smoke and/or smell when eating or drinking, don't go there.
I was told they will look into creating a  free smoking area."
Ary Prasetyo,
Suzy Kandani,
an dwi,"Enak tempatnya bisa buat nobar juga. Lumayan rame pas malam minggu. Makanannya boleh juga, minuman juga oke. Pegawainya ramah juga bisa request macem-macem. Buka sampe dini hari jadi pas buat yg laper tengah malem"
Muhammad Ikhsan,"Saya pesan mie kuah tom yam, enak dan segar. Topping ayamnya tidak pelit. Paling sempat merasa dibeberapa bagian mie nya yg masih kerasa, semacam kurang direbus. Suasananya nyaman, kalau siang harus cari meja yang agak di dalam, kalau agak …"
Dewi Subagyo,The coffee shop is located in front of Santika Hotel. Good vibes with a comfortable spot for you to chat with others or work/study. Beverages tasted good. The service was good and satisfying 👍. We tried virgin mojito and madame oyaki …
Adinda Tenriangke Muchtar,"Nice coffee
Strategic location
Good service
Unique ambience"
yus Lsantri,malming disini nyaman suasana..sayangnya live music nya terlalu cepat berakhir hanya sampe jam 10.. mungkin next bisa sampe jam 00.00
achmad rifai Pandin,"Makanan dan minumannya enak, khususnya pizzanya.
Tapi sudah dua kali seperti tidak dilayani dengan baik, kami minta tempat yg lebar karena akan pesan banyak dan rencana untuk main laptop, namun dikasih meja bulat yang hanya cukup untuk makanan dan minuman."
chabir basir,TEMPAT MINUM KOPI DENGAN KONSEP MODERN BER-AC UNTUK PEROKOK DAN RUANG FULL AC ON SMOOKING MEMBUAT BETAH BERLAMA-LAMA NONGKRONG DI ONKEL JOHN'S COFFEE
Poe Pute,"Suka dengan interiornya, tapi kurang suka kopi susu nya, karena terasa encer. Tapi untk kopi  salt karamel nya enak banget pizza nya ju endullll"
Johan Tanuwijaya,Suasana vintage dan industrial nya bagus.. cuma agak banyak nyamuk ya
